participant,p_ad_survey,ad_over_index,n_ad_top_trials,mean_ad_area_frac,regression_rate,mean_lhipa,mean_fixations,tercile,p_ad_click,p_dd_top_click,p_native_ad_click,mean_click_pos,n_clicks,n_ad_clicks
p020,0.6909090909090909,2.429941570100411,22.0,0.28433156558597455,0.6440677966101694,0.035297452000073275,157.8135593220339,mid,0.2542372881355932,0.0,0.2542372881355932,3.9152542372881354,59,15
p021,0.8689655172413793,2.682625394265707,29.0,0.323923541132076,0.55,0.04319017517317823,95.08333333333333,high,0.13559322033898305,0.03389830508474576,0.1016949152542373,3.6440677966101696,59,8
p022,0.6967741935483871,2.2389164968850332,31.0,0.3112104424250736,0.2,0.05766880942833559,62.78333333333333,mid,0.016666666666666666,0.0,0.016666666666666666,2.3833333333333333,60,1
p023,0.6615384615384615,2.229640277313026,39.0,0.2967018797918791,0.5833333333333334,0.0664999564177172,25.866666666666667,low,0.25,0.16071428571428573,0.08928571428571429,1.4285714285714286,56,14
p024,0.8,2.7773036089418244,32.0,0.28804917021830634,0.6666666666666666,0.053246493043173554,59.71666666666667,high,0.05,0.05,0.0,3.0833333333333335,60,3
p025,0.6631578947368421,2.2185895946852017,38.0,0.29890967501402094,0.5517241379310345,0.04907479603364995,66.5,mid,0.13793103448275862,0.13793103448275862,0.0,2.2413793103448274,58,8
p026,0.5225806451612903,1.7865318199636557,31.0,0.29251124403254203,0.28846153846153844,0.06753680658252503,34.38461538461539,low,0.0,0.0,0.0,2.2884615384615383,52,0
p027,0.8829268292682927,2.868534416235618,41.0,0.307797188791257,0.5666666666666667,0.047860636924717564,63.61666666666667,high,0.05,0.03333333333333333,0.016666666666666666,2.4166666666666665,60,3
p028,0.6615384615384615,2.2571556509229382,39.0,0.29308499893127093,0.8166666666666667,0.038472873295681546,112.2,low,0.03333333333333333,0.016666666666666666,0.016666666666666666,2.7,60,2
p029,0.9,2.978154914489662,26.0,0.30220053215540144,0.06779661016949153,0.0729053383184125,35.728813559322035,high,0.20689655172413793,0.1206896551724138,0.08620689655172414,2.8620689655172415,58,12
p030,0.6742857142857143,2.0958929276241096,35.0,0.3217176342352947,0.26666666666666666,0.06679238353219387,51.3,mid,0.05172413793103448,0.017241379310344827,0.034482758620689655,2.3620689655172415,58,3
p031,0.61875,2.0435351115731177,32.0,0.30278412956833656,0.6610169491525424,0.07078351530973287,39.220338983050844,low,0.017543859649122806,0.0,0.017543859649122806,2.508771929824561,57,1
p032,0.9028571428571428,2.9353456319103417,35.0,0.30758120374041187,0.0,0.07102404895376369,33.86666666666667,high,0.15254237288135594,0.11864406779661017,0.03389830508474576,1.5423728813559323,59,9
p033,0.7470588235294118,2.4270350400257934,34.0,0.30780718498463555,0.4666666666666667,0.05484072702647393,53.86666666666667,mid,0.45,0.38333333333333336,0.06666666666666667,1.3333333333333333,60,27
p034,0.6294117647058823,2.1500494592042263,34.0,0.2927429236622489,0.4576271186440678,0.05445205837642343,70.23728813559322,low,0.06779661016949153,0.0,0.06779661016949153,2.542372881355932,59,4
p035,0.7724137931034483,2.6982689968220375,29.0,0.2862627091713911,0.7833333333333333,0.05733414327287036,62.75,mid,0.08333333333333333,0.05,0.03333333333333333,2.216666666666667,60,5
p036,0.6,2.0156859101812743,37.0,0.2976654234518318,0.5666666666666667,0.044539736781529955,78.06666666666666,low,0.2033898305084746,0.13559322033898305,0.06779661016949153,1.6610169491525424,59,12
p037,0.45806451612903226,1.606072157781585,31.0,0.285207930359581,0.7931034482758621,0.03466538937065364,129.51724137931035,low,0.017241379310344827,0.0,0.017241379310344827,3.1206896551724137,58,1
p038,0.765,2.495388039301631,40.0,0.30656554730225277,0.35,0.07056646286866701,33.13333333333333,mid,0.08333333333333333,0.08333333333333333,0.0,2.6333333333333333,60,5
p039,0.65,2.2649526054362714,20.0,0.28698172246072146,0.9272727272727272,0.03451307122301127,168.4181818181818,low,0.34545454545454546,0.21818181818181817,0.12727272727272726,1.4545454545454546,55,19
p040,0.8516129032258064,2.8762410409728467,31.0,0.29608537361589166,0.6166666666666667,0.037770933008499284,102.83333333333333,high,0.08333333333333333,0.03333333333333333,0.05,3.2666666666666666,60,5
