participant,p_ad_survey,ad_over_index,n_survey_fix,n_ad_top_trials,mean_ad_area_frac,mean_lhipa,regression_rate,mean_click_pos,median_tti_s,mean_fixations,events_per_sec,dir_changes_per_sec,tercile
p045,0.7333333333333333,2.463181510866609,195,39,0.29771794327707835,0.03830179196203541,0.8214285714285714,5.5251190476190475,6.901,151.03571428571428,8.212628774796379,0.3446519751481192,mid
p007,0.7375,2.57731829826539,160,32,0.28615014315319875,0.03621329241579489,0.7586206896551724,6.793448275862069,6.2485,94.60344827586206,10.401329592698886,0.5506085723788747,mid
p033,0.7470588235294118,2.4270350400257934,170,34,0.30780718498463555,0.05484072702647393,0.4666666666666667,4.291,3.987,53.86666666666667,28.688183029563817,1.1923400027463873,mid
p048,0.7513513513513513,2.4785009591912486,185,37,0.30314749266690716,0.03914714512810015,0.55,4.457555555555556,7.4384999999999994,110.18333333333334,11.549962517620168,0.36592129567916515,mid
p038,0.765,2.495388039301631,200,40,0.30656554730225277,0.07056646286866701,0.35,6.01288888888889,2.426,33.13333333333333,23.215714026832636,0.9882687192379234,mid
p035,0.7724137931034483,2.6982689968220375,145,29,0.2862627091713911,0.05733414327287036,0.7833333333333333,4.894777777777777,1.604,62.75,28.438608994059738,1.5824989342360511,mid
p042,0.775,2.5981363006054923,160,32,0.29829074010450773,0.04141043689711658,0.7833333333333333,5.963555555555557,5.039,92.76666666666667,11.870373561770656,0.48100902319461997,mid
p004,0.7769230769230769,2.845229696301257,130,26,0.273061636441185,0.05088632793511847,0.5423728813559322,5.513446327683615,5.942,69.98305084745763,18.568534773801485,0.6246096189881324,mid
p016,0.7771428571428571,2.555433079496624,175,35,0.3041139536692312,0.04566531700885047,0.5084745762711864,5.064180790960451,6.2645,67.54237288135593,8.943574177462192,0.48783131877066505,high
p024,0.8,2.7773036089418244,160,32,0.28804917021830634,0.053246493043173554,0.6666666666666666,6.496,3.066,59.71666666666667,13.66096849395594,0.7634893597150132,high
p044,0.8054054054054054,2.7210041291597524,185,37,0.2959956571819371,0.04257609877332424,0.7,6.555666666666667,6.731,124.15,13.481703752141977,0.7347686520682593,high
p018,0.8324324324324325,2.737113570117259,185,37,0.3041278379971536,0.03759319411329069,0.3793103448275862,4.9513793103448265,13.871,97.29310344827586,12.280732884771712,0.4259710294015316,high
p040,0.8516129032258064,2.8762410409728467,155,31,0.29608537361589166,0.037770933008499284,0.6166666666666667,6.8662222222222224,5.023,102.83333333333333,13.104095350164027,0.4456433096558372,high
p017,0.85625,2.8692510084328813,160,32,0.29842282793782615,0.06413144850568468,0.2,6.546000000000001,4.9405,41.15,13.770350713619738,0.544888455111878,high
p021,0.8689655172413793,2.682625394265707,145,29,0.323923541132076,0.04319017517317823,0.55,6.770333333333334,5.937,95.08333333333333,10.705578123775378,0.3745703119276197,high
p027,0.8829268292682927,2.868534416235618,205,41,0.307797188791257,0.047860636924717564,0.5666666666666667,5.709777777777777,3.545,63.61666666666667,14.8642864165095,0.5900419605603472,high
p050,0.8914285714285715,3.0981121299333045,175,35,0.28773283020190815,0.040075162066806246,0.9333333333333333,5.021555555555555,5.176,90.48333333333333,8.368021128073595,0.3476462263761686,high
p006,0.896551724137931,3.0897473910206963,145,29,0.29016991057050645,0.04440055334167827,0.7666666666666667,5.118888888888889,7.366,106.75,9.94040755059685,0.47302767166839027,high
p029,0.9,2.978154914489662,130,26,0.30220053215540144,0.0729053383184125,0.06779661016949153,5.981016949152543,3.9125,35.728813559322035,35.48135920784115,1.1616498766031476,high
p009,0.9,3.129730821050282,200,40,0.2875646665670679,0.03510502834350219,0.9830508474576272,4.073333333333333,5.423,140.64406779661016,11.528624087865795,0.6770480704129994,high
p032,0.9028571428571428,2.9353456319103417,175,35,0.30758120374041187,0.07102404895376369,0.0,4.160333333333333,,33.86666666666667,51.55720364552788,0.9463375409637091,high
p011,0.90625,3.3291208001331682,160,32,0.2722190194972045,0.03770019656531415,0.9322033898305084,6.578983050847459,6.906,144.77966101694915,15.163662983232822,0.8396918695922019,high
p013,0.9347826086956522,2.8860635631198086,230,46,0.3238953641357645,0.07514296663831638,0.03333333333333333,4.078777777777778,1.939,23.183333333333334,44.43546967937212,0.5417821324403915,high
